Address Range,Name,Size (kB),RSS (kB),PSS (kB)
7b7c530000-7b7c533000 ---p 00000000 00:00 0                              [anon:cfi shadow],shadow],12,0,0
7b7c533000-7b7c534000 r--p 00000000 00:00 0                              [anon:cfi shadow],shadow],4,4,4
7b7c534000-7b7c544000 ---p 00000000 00:00 0                              [anon:cfi shadow],shadow],64,0,0
7b7c544000-7b7c545000 r--p 00000000 00:00 0                              [anon:cfi shadow],shadow],4,4,4
7b7c545000-7bfc154000 ---p 00000000 00:00 0                              [anon:cfi shadow],shadow],2093116,0,0
7bfc154000-7bfc157000 r--p 00000000 fe:0a 2757                           /system/lib64/libnetd_client.so,/system/lib64/libnetd_client.so,12,12,0
7bfc157000-7bfc15b000 r-xp 00003000 fe:0a 2757                           /system/lib64/libnetd_client.so,/system/lib64/libnetd_client.so,16,16,0
7bfc15b000-7bfc15c000 r--p 00007000 fe:0a 2757                           /system/lib64/libnetd_client.so,/system/lib64/libnetd_client.so,4,4,4
7bfc15c000-7bfc15d000 rw-p 00008000 fe:0a 2757                           /system/lib64/libnetd_client.so,/system/lib64/libnetd_client.so,4,4,4
7bfc163000-7bfc164000 ---p 00000000 00:00 0,(anonymous),4,0,0
7bfc164000-7bfc16c000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7bfc16c000-7bfc16d000 ---p 00000000 00:00 0,(anonymous),4,0,0
7bfc16d000-7bfc175000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7bfc175000-7bfc176000 ---p 00000000 00:00 0,(anonymous),4,0,0
7bfc176000-7bfc17e000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7bfc17e000-7bfc19e000 r--s 00000000 00:10 392                            /dev/__properties__/u:object_r:vendor_arm_runtime_option_prop:s0,/dev/__properties__/u:object_r:vendor_arm_runtime_option_prop:s0,128,4,0
7bfc19e000-7bfc19f000 ---p 00000000 00:00 0,(anonymous),4,0,0
7bfc19f000-7bfc1b8000 rw-p 00000000 00:00 0                              [anon:scudo:secondary],[anon:scudo:secondary],100,100,100
7bfc1b8000-7bfc1b9000 ---p 00000000 00:00 0,(anonymous),4,0,0
7bfc1b9000-7bfc1d9000 r--s 00000000 00:10 238                            /dev/__properties__/u:object_r:heapprofd_prop:s0,/dev/__properties__/u:object_r:heapprofd_prop:s0,128,4,0
7bfc1d9000-7bfc1f9000 r--s 00000000 00:10 260                            /dev/__properties__/u:object_r:libc_debug_prop:s0,/dev/__properties__/u:object_r:libc_debug_prop:s0,128,4,0
7bfc1f9000-7bfc219000 r--s 00000000 00:10 233                            /dev/__properties__/u:object_r:gwp_asan_prop:s0,/dev/__properties__/u:object_r:gwp_asan_prop:s0,128,4,0
7bfc219000-7bfc21e000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],20,0,0
7bfc21e000-7bfc25e000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,12,12
7bfc25e000-7c0c227000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261924,0,0
7c0c227000-7c0c267000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,20,20
7c0c267000-7c1c221000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261864,0,0
7c1c221000-7c1c261000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,8,8
7c1c261000-7c2c21a000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261860,0,0
7c2c21a000-7c2c25a000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,24,24
7c2c25a000-7c4c221000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],524060,0,0
7c4c221000-7c4c261000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,60,60
7c4c261000-7c5c222000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261892,0,0
7c5c222000-7c5c262000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,20,20
7c5c262000-7c6c225000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261900,0,0
7c6c225000-7c6c265000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,8,8
7c6c265000-7c7c229000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261904,0,0
7c7c229000-7c7c269000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,16,16
7c7c269000-7c8c226000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261876,0,0
7c8c226000-7c8c266000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,224,224
7c8c266000-7c9c21a000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261840,0,0
7c9c21a000-7c9c25a000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,68,68
7c9c25a000-7cac21f000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261908,0,0
7cac21f000-7cac25f000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,8,8
7cac25f000-7ccc21a000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],524012,0,0
7ccc21a000-7ccc29a000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],512,308,308
7ccc29a000-7cdc21d000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261644,0,0
7cdc21d000-7cdc25d000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,36,36
7cdc25d000-7cec21f000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261896,0,0
7cec21f000-7cec25f000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,12,12
7cec25f000-7cfc21c000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261876,0,0
7cfc21c000-7cfc25c000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,8,8
7cfc25c000-7d0c226000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261928,0,0
7d0c226000-7d0c266000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,132,132
7d0c266000-7d2c21b000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],523988,0,0
7d2c21b000-7d2c25b000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,16,16
7d2c25b000-7d3c21c000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261892,0,0
7d3c21c000-7d3c25c000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,32,32
7d3c25c000-7d4c220000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261904,0,0
7d4c220000-7d4c260000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,16,16
7d4c260000-7d5c229000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261924,0,0
7d5c229000-7d5c269000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,12,12
7d5c269000-7d6c227000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261880,0,0
7d6c227000-7d6c267000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,20,20
7d6c267000-7d7c21a000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261836,0,0
7d7c21a000-7d7c25a000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,20,20
7d7c25a000-7d8c225000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261932,0,0
7d8c225000-7d8c265000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,232,232
7d8c265000-7d9c21d000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261856,0,0
7d9c21d000-7d9c25d000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,32,32
7d9c25d000-7dac21b000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261880,0,0
7dac21b000-7dac25b000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,4,4
7dac25b000-7dcc21b000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],524032,0,0
7dcc21b000-7dcc25b000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,4,4
7dcc25b000-7ddc21c000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261892,0,0
7ddc21c000-7ddc25c000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,16,16
7ddc25c000-7dfc224000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],524064,0,0
7dfc224000-7dfc264000 rw-p 00000000 00:00 0                              [anon:scudo:primary],[anon:scudo:primary],256,20,20
7dfc264000-7e0c219000 ---p 00000000 00:00 0                              [anon:scudo:primary_reserve],[anon:scudo:primary_reserve],261844,0,0
7e0c219000-7e0c279000 rw-p 00000000 00:00 0                              [anon:linker_alloc],[anon:linker_alloc],384,4,4
7e0c279000-7e0c2f1000 r--p 00000000 fe:0a 2569                           /system/lib64/libc++.so,/system/lib64/libc++.so,480,344,3
7e0c2f1000-7e0c2f4000 ---p 00000000 00:00 0,(anonymous),12,0,0
7e0c2f4000-7e0c368000 r-xp 00077000 fe:0a 2569                           /system/lib64/libc++.so,/system/lib64/libc++.so,464,392,2
7e0c368000-7e0c36b000 ---p 00000000 00:00 0,(anonymous),12,0,0
7e0c36b000-7e0c373000 r--p 000ea000 fe:0a 2569                           /system/lib64/libc++.so,/system/lib64/libc++.so,32,32,32
7e0c373000-7e0c376000 ---p 00000000 00:00 0,(anonymous),12,0,0
7e0c376000-7e0c377000 rw-p 000f1000 fe:0a 2569                           /system/lib64/libc++.so,/system/lib64/libc++.so,4,4,4
7e0c377000-7e0c37e000 rw-p 00000000 00:00 0                              [anon:.bss],[anon:.bss],28,8,8
7e0c382000-7e0c383000 rw-p 00000000 00:00 0                              [anon:bionic_alloc_small_objects],[anon:bionic_alloc_small_objects],4,4,4
7e0c388000-7e0c38c000 r--p 00000000 fe:0d 2305                           /vendor/lib64/libOpenCL.so,/vendor/lib64/libOpenCL.so,16,16,8
7e0c38c000-7e0c38f000 r-xp 00004000 fe:0d 2305                           /vendor/lib64/libOpenCL.so,/vendor/lib64/libOpenCL.so,12,12,6
7e0c38f000-7e0c390000 r--p 00007000 fe:0d 2305                           /vendor/lib64/libOpenCL.so,/vendor/lib64/libOpenCL.so,4,4,4
7e0c390000-7e0c391000 rw-p 00000000 00:00 0                              [anon:.bss],[anon:.bss],4,4,4
7e0c392000-7e0c393000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c393000-7e0c39b000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7e0c39b000-7e0c39c000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c39c000-7e0c3a4000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7e0c3a4000-7e0c3c4000 r--s 00000000 00:10 162                            /dev/__properties__/u:object_r:debug_prop:s0,/dev/__properties__/u:object_r:debug_prop:s0,128,8,0
7e0c3c4000-7e0c3c5000 r--p 00000000 07:110 43                            /apex/com.android.runtime/lib64/bionic/libdl.so,/apex/com.android.runtime/lib64/bionic/libdl.so,4,4,0
7e0c3c5000-7e0c3c6000 r-xp 00001000 07:110 43                            /apex/com.android.runtime/lib64/bionic/libdl.so,/apex/com.android.runtime/lib64/bionic/libdl.so,4,4,0
7e0c3c6000-7e0c3c7000 r--p 00002000 07:110 43                            /apex/com.android.runtime/lib64/bionic/libdl.so,/apex/com.android.runtime/lib64/bionic/libdl.so,4,4,4
7e0c3c7000-7e0c3c8000 r--p 00000000 00:00 0                              [anon:.bss],[anon:.bss],4,4,4
7e0c3cf000-7e0c3d0000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c3d0000-7e0c3d8000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7e0c3d8000-7e0c3d9000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c3d9000-7e0c3e1000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7e0c3e1000-7e0c401000 r--s 00000000 00:10 475                            /dev/__properties__/properties_serial,/dev/__properties__/properties_serial,128,4,0
7e0c401000-7e0c445000 r--p 00000000 07:110 41                            /apex/com.android.runtime/lib64/bionic/libc.so,/apex/com.android.runtime/lib64/bionic/libc.so,272,188,1
7e0c445000-7e0c4db000 r-xp 00044000 07:110 41                            /apex/com.android.runtime/lib64/bionic/libc.so,/apex/com.android.runtime/lib64/bionic/libc.so,600,600,3
7e0c4db000-7e0c4df000 r--p 000da000 07:110 41                            /apex/com.android.runtime/lib64/bionic/libc.so,/apex/com.android.runtime/lib64/bionic/libc.so,16,16,16
7e0c4df000-7e0c4e0000 rw-p 000de000 07:110 41                            /apex/com.android.runtime/lib64/bionic/libc.so,/apex/com.android.runtime/lib64/bionic/libc.so,4,4,4
7e0c4e0000-7e0c4f1000 rw-p 00000000 00:00 0                              [anon:.bss],[anon:.bss],68,64,64
7e0c4f1000-7e0c4f2000 r--p 00000000 00:00 0                              [anon:.bss],[anon:.bss],4,4,4
7e0c4f2000-7e0c4fa000 rw-p 00000000 00:00 0                              [anon:.bss],[anon:.bss],32,20,20
7e0c501000-7e0c514000 r--p 00000000 07:110 45                            /apex/com.android.runtime/lib64/bionic/libm.so,/apex/com.android.runtime/lib64/bionic/libm.so,76,64,0
7e0c514000-7e0c539000 r-xp 00013000 07:110 45                            /apex/com.android.runtime/lib64/bionic/libm.so,/apex/com.android.runtime/lib64/bionic/libm.so,148,0,0
7e0c539000-7e0c53a000 r--p 00038000 07:110 45                            /apex/com.android.runtime/lib64/bionic/libm.so,/apex/com.android.runtime/lib64/bionic/libm.so,4,4,4
7e0c53a000-7e0c53b000 rw-p 00039000 07:110 45                            /apex/com.android.runtime/lib64/bionic/libm.so,/apex/com.android.runtime/lib64/bionic/libm.so,4,4,4
7e0c543000-7e0c55d000 r--s 00000000 00:10 78                             /dev/__properties__/property_info,/dev/__properties__/property_info,104,104,0
7e0c55d000-7e0c57d000 r--s 00000000 00:10 180                            /dev/__properties__/u:object_r:device_config_memory_safety_native_prop:s0,/dev/__properties__/u:object_r:device_config_memory_safety_native_prop:s0,128,4,0
7e0c57d000-7e0c57f000 rw-p 00000000 00:00 0                              [anon:bionic_alloc_small_objects],[anon:bionic_alloc_small_objects],8,8,8
7e0c587000-7e0c588000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c588000-7e0c590000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7e0c590000-7e0c594000 rw-p 00000000 00:00 0                              [anon:System property context nodes],nodes],16,16,16
7e0c594000-7e0c595000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c595000-7e0c599000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:main],[anon:stack_and_tls:main],16,12,12
7e0c599000-7e0c59a000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c59a000-7e0c5ba000 r--s 00000000 00:10 91                             /dev/__properties__/u:object_r:arm64_memtag_prop:s0,/dev/__properties__/u:object_r:arm64_memtag_prop:s0,128,4,0
7e0c5bd000-7e0c5cd000 r--p 00000000 00:00 0                              [anon:atexit handlers],handlers],64,44,44
7e0c5d2000-7e0c5d3000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c5d3000-7e0c5db000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7e0c5db000-7e0c5fb000 r--s 00000000 00:10 117                            /dev/__properties__/u:object_r:build_prop:s0,/dev/__properties__/u:object_r:build_prop:s0,128,16,0
7e0c5fb000-7e0c61b000 r--s 00000000 00:10 435                            /dev/__properties__/u:object_r:vendor_socket_hook_prop:s0,/dev/__properties__/u:object_r:vendor_socket_hook_prop:s0,128,4,0
7e0c61b000-7e0c61c000 rw-p 00000000 00:00 0                              [anon:bionic_alloc_small_objects],[anon:bionic_alloc_small_objects],4,4,4
7e0c61c000-7e0c67c000 r--p 00000000 00:00 0                              [anon:linker_alloc],[anon:linker_alloc],384,28,28
7e0c67c000-7e0c69c000 r--s 00000000 00:10 162                            /dev/__properties__/u:object_r:debug_prop:s0,/dev/__properties__/u:object_r:debug_prop:s0,128,8,0
7e0c69c000-7e0c69d000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c69d000-7e0c6a5000 rw-p 00000000 00:00 0,(anonymous),32,0,0
7e0c6a5000-7e0c6a6000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0c6a6000-7e0c6c6000 r--s 00000000 00:10 475                            /dev/__properties__/properties_serial,/dev/__properties__/properties_serial,128,4,0
7e0c6c6000-7e0c6ca000 rw-p 00000000 00:00 0                              [anon:System property context nodes],nodes],16,16,16
7e0c6ca000-7e0c6e4000 r--s 00000000 00:10 78                             /dev/__properties__/property_info,/dev/__properties__/property_info,104,80,0
7e0c6e4000-7e0c744000 r--p 00000000 00:00 0                              [anon:linker_alloc],[anon:linker_alloc],384,12,12
7e0c744000-7e0c745000 rw-p 00000000 00:00 0                              [anon:bionic_alloc_small_objects],[anon:bionic_alloc_small_objects],4,4,4
7e0c745000-7e0c746000 r--p 00000000 00:00 0                              [anon:atexit handlers],handlers],4,4,4
7e0c746000-7e0c748000 rw-p 00000000 00:00 0                              [anon:bionic_alloc_small_objects],[anon:bionic_alloc_small_objects],8,8,8
7e0c748000-7e0d548000 ---p 00000000 00:00 0,(anonymous),14336,0,0
7e0d548000-7e0d54c000 rw-p 00000000 00:00 0,(anonymous),16,0,0
7e0d54c000-7e0d748000 ---p 00000000 00:00 0,(anonymous),2032,0,0
7e0d748000-7e0d749000 ---p 00000000 00:00 0,(anonymous),4,0,0
7e0d749000-7e0d751000 rw-p 00000000 00:00 0                              [anon:thread signal stack],stack],32,0,0
7e0d751000-7e0d752000 rw-p 00000000 00:00 0                              [anon:arc4random data],data],4,4,4
7e0d754000-7e0d755000 rw-p 00000000 00:00 0                              [anon:arc4random data],data],4,4,4
7e0d755000-7e0d757000 r--p 00000000 00:00 0                              [vvar],[vvar],8,0,0
7e0d757000-7e0d758000 r-xp 00000000 00:00 0                              [vdso],[vdso],4,4,0
7e0d758000-7e0d7a0000 r--p 00000000 07:110 16                            /apex/com.android.runtime/bin/linker64,/apex/com.android.runtime/bin/linker64,288,96,0
7e0d7a0000-7e0d8c7000 r-xp 00048000 07:110 16                            /apex/com.android.runtime/bin/linker64,/apex/com.android.runtime/bin/linker64,1180,732,5
7e0d8c7000-7e0d8d1000 r--p 0016f000 07:110 16                            /apex/com.android.runtime/bin/linker64,/apex/com.android.runtime/bin/linker64,40,40,40
7e0d8d1000-7e0d8d2000 rw-p 00179000 07:110 16                            /apex/com.android.runtime/bin/linker64,/apex/com.android.runtime/bin/linker64,4,4,4
7e0d8d2000-7e0d8d4000 rw-p 00000000 00:00 0                              [anon:.bss],[anon:.bss],8,8,8
7e0d8d4000-7e0d8d5000 r--p 00000000 00:00 0                              [anon:.bss],[anon:.bss],4,4,4
7e0d8d5000-7e0d8e2000 rw-p 00000000 00:00 0                              [anon:.bss],[anon:.bss],52,24,24
7fc2560000-7fc2582000 rw-p 00000000 00:00 0                              [stack],[stack],136,24,24
